X,Y,OBJECTID,SNO,NAME,ALTERNATE_NAME,COMMUNITY,TYPE,RANKING,CLUSTER_AREA,HEIGHT_IN_M,WIDTH_IN_M,OWNERSHIP,ACCESS_FROM
585686,4792410,82,142,Romar Cascade,West of Hydro Tower Falls,Flamborough,Cascade,C,Sydenham,7,1.2,public-I,Rock Chapel Rd. / Rock Chapel Sanctuary
586478,4788482,84,33,Scenic Falls,,Hamilton,Cascade,A,Chedoke-Scenic,20,6,public,Scenic Dr. / Chedoke Radial Trail Head
583391,4787770,86,26,Sherman Falls,"Smith's Falls, Whitton Falls, Fairy Falls, Angel Falls",Ancaster,Waterfall,A,Ancaster-Sulphur,17,8,private,Lions Club Rd.
607503,4784318,88,143,Smith Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Vinemount,5,2,public-I,McNeilly Rd.
590140,4797608,89,5.3,Snake Falls,,Burlington,Cascade,B,Grindstone,25,3,public-I,Bruce Trail at the bottom.
579251,4790194,92,17,Steven's Falls,,Flamborough,Cascade,B,Spring,8,5,public-I,Middletown Rd.
586199,4792956,93,138,Sugar Shack Falls,,Dundas,Waterfall,B,Borer's,9,4,public,Rock Chapel Rd. / Rock Chapel Sanctuary
582900,4792495,97,11,Tew's Falls,"Hopkins Falls, Tunis Falls",Flamborough,Waterfall,A,Spencer-Logie's,41,9,public,Harvest Rd. / Spencer Gorge / Webster's Falls CA
584594,4787790,98,28,Tiffany Falls,,Ancaster,Waterfall,A,Tiffany-Coldwater,21,6,public,Wilson St. E. / Tiffany Falls CA
596704,4783965,100,46,Upper Glendale Falls,Glendale Falls,Hamilton,Waterfall,C,Red Hill,3,3,public,Kingsview Dr.
586762,4794427,102,68,Upper Hopkins Cascade,,Flamborough,Cascade,C,Borer's,3.2,2.3,public-I,Valley Rd.
586203,4787375,103,134,Upper Mohawk Cascade,,Ancaster,Cascade,C,Chedoke-Scenic,3,2.4,public-I,Inaccessible
588681,4796201,104,66,Upper Quarry Cascade,,Flamborough,Cascade,C,Quarry,4,1.2,private,Mountain Brow Rd.
588109,4788588,105,36,Upper Sanatorium Falls,"Ravine Mountain Sanatorium, Sanatorium Falls",Hamilton,Cascade,C,Chedoke-Mountview,9,3,public,Sanatorium Rd. / Chedoke Civic Golf Course
586934,4794409,107,107,Valley Falls,,Flamborough,Waterfall,C,Borer's,4.3,4.3,public,Bruce Trail at Valley Road
599031,4784656,108,82,Veevers Falls,,Hamilton,Cascade,C,Felker,14,2.5,private,Greenhill Ave.
596115,4783834,112,124,Walnut Grove Falls,,Hamilton,Waterfall,C,Red Hill,5,1.2,public-I,Inaccessible
584640,4787704,113,29,Washboard Falls,Upper Tiffany Falls,Ancaster,Cascade,B,Tiffany-Coldwater,5,6,public-I,Inaccessible
582691,4791988,114,13,Webster's Falls,"Spencer Falls, Hatt's Falls",Flamborough,Waterfall,A,Spencer-Logie's,22,30,public,Fallsview Rd. / Spencer Gorge / Webster's Falls CA
583406,4791649,116,16,Dundas Falls,,Dundas,Waterfall,B,Spencer-Logie's,6.4,6.7,private,King St.
585266,4792244,117,71,Dyment Falls,,Flamborough,Waterfall,B,Sydenham,15.7,4,public,Sydenham Rd. lookout
599586,4784774,118,51,East Glover's Falls,,Hamilton,Cascade,C,Glover-Battlefield,6,3,public-I,Glover Mountain Rd.
581832,4792340,119,74,East Greensville Falls,,Flamborough,Cascade,C,Spencer-Logie's,5.5,1.5,public,Crooks Hollow Rd / Crooks Hollow CA
586171,4788545,120,81,East Iroquoia Falls,,Hamilton,Waterfall,B,Chedoke-Scenic,20,1.2,public,Hwy 403
610386,4783357,121,95,East of Fifty Falls,Winona Falls,Stoney Creek,Waterfall,C,Stoney Creek-Winona,10,1.5,private,Fifty Rd.
598287,4784126,123,50,Felker's Falls,,Hamilton,Waterfall,A,Felker,22,6,public,Ackland St. / Felker's Falls CA
582966,4792406,124,101,Ferguson Falls,,Flamborough,Waterfall,B,Spencer-Logie's,30,2,public-I,"Trail to Dundas Peak - to top of falls only, On trail to Dundas Peak from Tews Falls, located 30m before Glen Ferguson Side Trail"
610140,4783397,125,94,Fifty Rd. Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Winona,10,1.2,public,Fifty Rd.
599576,4784748,127,52,Glover's Falls,,Hamilton,Cascade,C,Glover-Battlefield,8,3,public-I,Glover Mountain Rd.
609740,4783579,128,91,Grand Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Winona,4,1,private,Fifty Rd.
590212,4798123,129,3,Great Falls,"Waterdown Falls, Grindstone Falls, Smokey Hollow Falls, Dunn's Falls, The Falls, Palmer's Falls",Flamborough,Waterfall,A,Grindstone,10,5,public,Mill St / Smokey Hollow Resource Management Area
590241,4797890,131,4,Grindstone Cascade,,Flamborough,Cascade,B,Grindstone,3,5,public,Mill St / Smokey Hollow Resource Management Area
595108,4782301,132,115,Hannon Cascade,,Hamilton,Cascade,C,Red Hill,3,6,public-I,Rymal Road
608932,4783930,133,89,Harvey Falls,Pond Falls,Stoney Creek,Waterfall,B,Stoney Creek-Winona,16,3,private,Fifty Rd.
580884,4787942,134,20,Heritage Falls,Griffin Falls,Ancaster,Cascade,C,DV-Sulphur,5,3,public,Sulphur Springs Rd. / Hermitage ruins
598499,4784263,135,103,Heritage Green Falls,Taro Falls,Hamilton,Waterfall,B,Felker,12.2,1.8,public,Ackland Street
581355,4787551,136,19,Hermitage Cascade,Hermitage Falls,Ancaster,Cascade,B,DV-Sulphur,4,5,public,Sulphur Springs Rd. / Hermitage ruins
590196,4797879,137,102,Hidden Grindstone Falls,,Flamborough,Waterfall,C,Grindstone,8,1.5,public-I,Can be viewed from Bruce Trail on opposite side of Grindstone Creek
605967,4784242,139,65,Jones Rd. Falls,,Stoney Creek,Cascade,C,Stoney Creek-Vinemount,6,2,private,McNeilly Rd.
608456,4784015,141,88,Lewis Rd. East Falls,,Stoney Creek,Cascade,C,Stoney Creek-Winona,8,5,private,McNeilly Rd.
608393,4783965,142,87,Lewis Rd. West Falls,,Stoney Creek,Waterfall,C,Stoney Creek-Winona,9,3,private,McNeilly Rd.
596047,4784175,143,128,Limeridge Falls,,Hamilton,Waterfall,C,Red Hill,15,1,public-I,Inaccessible
582817,4787627,144,24,Little Canterbury Falls,,Ancaster,Cascade,C,Ancaster-Sulphur,5,2,public,Old Dundas Rd.
598382,4784486,145,49,Little Davis Falls,Lower Felker's Falls,Hamilton,Waterfall,B,Felker,3,8,public,Quigley Rd.
583986,4787936,146,27,Little Falls,,Ancaster,Cascade,C,Tiffany-Coldwater,7,3,public,Wilson St. E.
586324,4793729,149,7,Lower Borer's Falls,Little Borer's Falls,Flamborough,Cascade,B,Borer's,3,5,public-I,Rock Chapel Rd. / Rock Chapel Sanctuary
589270,4788525,150,43,Lower Chedoke Falls,,Hamilton,Cascade,A,Chedoke,6,11,public,Beddoe Dr. / Chedoke Civic Golf Course
